"","moy_quant1","quant1_IC_bas","quant1_IC_haut","moy_quant2","quant2_IC_bas","quant2_IC_haut","moy_quant3","quant3_IC_bas","quant3_IC_haut"
"temperature_reporting"," 1.1e+01"," 8.9e+00","1.4e+01","1.8e+01","1.6e+01","1.9e+01","2.3e+01","2.1e+01","2.5e+01"
"temperature_random"," 3.3e+00"," 6.1e-01","6.0e+00","1.2e+01","9.9e+00","1.4e+01","2.1e+01","1.8e+01","2.4e+01"
"temperaturelow_reporting"," 6.3e+00"," 3.6e+00","8.5e+00","1.2e+01","1.1e+01","1.3e+01","1.7e+01","1.6e+01","1.8e+01"
"temperaturelow_random","-9.5e-01","-3.5e+00","1.5e+00","7.0e+00","5.3e+00","8.6e+00","1.5e+01","1.2e+01","1.7e+01"
"temperaturehigh_reporting"," 1.6e+01"," 1.3e+01","1.9e+01","2.3e+01","2.2e+01","2.5e+01","3.0e+01","2.7e+01","3.2e+01"
"temperaturehigh_random"," 6.8e+00"," 3.6e+00","9.8e+00","1.6e+01","1.4e+01","1.9e+01","2.7e+01","2.3e+01","3.0e+01"
"humidity_reporting"," 5.8e+01"," 5.3e+01","6.3e+01","7.1e+01","6.8e+01","7.4e+01","8.5e+01","8.1e+01","9.0e+01"
"humidity_random"," 5.8e+01"," 5.1e+01","6.4e+01","7.5e+01","7.1e+01","7.9e+01","9.0e+01","8.6e+01","9.5e+01"
"dewpoint_reporting"," 6.0e+00"," 3.1e+00","8.5e+00","1.2e+01","1.0e+01","1.3e+01","1.6e+01","1.5e+01","1.7e+01"
"dewpoint_random","-1.4e+00","-4.7e+00","1.6e+00","6.4e+00","4.7e+00","8.1e+00","1.4e+01","1.2e+01","1.6e+01"
"pressure_reporting"," 1.0e+03"," 1.0e+03","1.0e+03","1.0e+03","1.0e+03","1.0e+03","1.0e+03","1.0e+03","1.0e+03"
"pressure_random"," 1.0e+03"," 1.0e+03","1.0e+03","1.0e+03","1.0e+03","1.0e+03","1.0e+03","1.0e+03","1.0e+03"
"windspeed_reporting"," 1.4e+00"," 1.0e+00","1.7e+00","2.7e+00","2.4e+00","3.0e+00","4.2e+00","3.5e+00","5.1e+00"
"windspeed_random"," 1.3e+00"," 8.9e-01","1.6e+00","3.1e+00","2.6e+00","3.7e+00","5.5e+00","4.3e+00","7.0e+00"
"visibility_reporting"," 9.1e+00"," 7.9e+00","9.8e+00","1.2e+01","1.1e+01","1.3e+01","1.6e+01","1.6e+01","1.6e+01"
"visibility_random"," 8.7e+00"," 6.9e+00","9.8e+00","1.2e+01","1.1e+01","1.3e+01","1.6e+01","1.6e+01","1.6e+01"
"cloudcover_reporting"," 1.9e+01"," 4.2e+00","3.7e+01","6.0e+01","5.1e+01","6.9e+01","9.0e+01","8.3e+01","9.6e+01"
"cloudcover_random"," 2.0e+01"," 2.9e+00","4.3e+01","6.6e+01","5.7e+01","7.4e+01","9.6e+01","9.0e+01","9.9e+01"
"windgust_reporting"," 3.3e+00"," 2.4e+00","4.4e+00","7.1e+00","5.8e+00","8.4e+00","1.2e+01","9.0e+00","1.5e+01"
"windgust_random"," 3.3e+00"," 2.4e+00","4.4e+00","8.6e+00","7.2e+00","1.0e+01","1.5e+01","1.2e+01","1.8e+01"
"uvindex_reporting"," 2.9e+00"," 1.0e+00","4.0e+00","5.5e+00","4.8e+00","6.0e+00","8.0e+00","7.0e+00","9.0e+00"
"uvindex_random"," 7.4e-01"," 0.0e+00","1.0e+00","3.1e+00","2.5e+00","3.8e+00","6.3e+00","5.0e+00","8.0e+00"
