id,date_releve,humidity,dewpoint,pressure,windspeed,visibility,cloudcover,windgust,uvindex,precipintensity,precipintensitymax,temperaturehigh,temperaturelow,temperaturehighoffset2,temperaturelowoffset2
250,2017-01-01,0.88,0.03,,1.98,5.73,0.89,4.45,0.81,0.00,0.04,6.00,0.58,8.00,2.58
599,2017-01-02,0.89,1.26,1024.14,2.47,6.50,0.85,5.32,0.90,0.01,0.15,6.15,-0.37,8.15,1.63
607,2017-01-03,0.83,-1.00,1027.58,2.76,7.95,0.79,6.15,0.69,0.00,0.03,5.20,-1.50,7.20,0.50
1106,2017-01-04,0.81,-1.05,1025.67,3.32,8.51,0.82,7.19,0.86,0.00,0.06,6.67,0.68,8.67,2.68
898,2017-01-05,0.76,-1.34,1029.15,3.73,9.40,0.69,7.30,0.93,0.01,0.11,6.71,-3.18,8.71,-1.18
524,2017-01-06,0.72,-5.09,1035.37,2.82,9.18,0.47,5.83,0.55,0.00,0.02,4.11,-4.31,6.11,-2.31
295,2017-01-07,0.70,-5.32,1034.30,2.37,8.91,0.79,4.42,0.69,0.00,0.05,5.06,0.25,7.06,2.25
164,2017-01-08,0.84,1.23,1031.54,2.30,6.37,0.89,5.05,0.95,0.00,0.06,7.66,2.29,9.66,4.29
32,2017-01-09,0.86,2.57,1026.66,3.18,7.17,0.88,7.09,0.95,0.02,0.26,8.01,3.31,10.01,5.31
93,2017-01-10,0.86,3.25,1014.61,3.77,8.98,0.88,7.60,0.95,0.05,0.35,7.93,3.54,9.93,5.54
644,2017-01-11,0.86,4.37,1018.34,3.81,8.48,0.88,8.41,0.98,0.02,0.20,9.92,5.18,11.92,7.18
1040,2017-01-12,0.83,4.74,1015.09,4.76,9.39,0.88,16.37,0.93,0.08,0.86,10.61,2.84,12.61,4.84
249,2017-01-13,0.72,-0.20,1013.49,7.07,9.87,0.75,18.08,1.02,0.04,0.38,6.98,0.87,8.98,2.87
413,2017-01-14,0.74,-0.99,1021.12,4.93,9.86,0.74,10.18,1.05,0.01,0.09,6.51,1.40,8.51,3.40
1021,2017-01-15,0.81,0.18,1023.50,4.14,9.30,0.84,7.92,1.02,0.02,0.18,5.97,2.03,7.97,4.03
446,2017-01-16,0.80,-0.01,1023.20,4.09,8.78,0.82,8.17,1.05,0.03,0.15,6.18,-2.29,8.18,-0.29
350,2017-01-17,0.69,-5.55,1027.94,4.96,9.18,0.55,9.67,0.90,0.00,0.03,2.93,-3.40,4.93,-1.40
587,2017-01-18,0.66,-6.71,1029.65,4.39,9.72,0.57,7.90,0.95,0.00,0.02,2.66,-4.30,4.66,-2.30
311,2017-01-19,0.69,-6.20,1030.26,3.50,9.47,0.38,6.27,0.74,0.00,0.01,3.57,-4.70,5.57,-2.70
1168,2017-01-20,0.72,-5.09,1029.05,2.82,8.32,0.21,5.09,1.00,0.00,0.01,5.49,-3.79,7.49,-1.79
592,2017-01-21,0.72,-4.11,1025.79,2.65,7.68,0.22,4.87,0.88,0.00,0.01,7.23,-2.41,9.23,-0.41
184,2017-01-22,0.74,-3.03,1023.97,2.78,7.23,0.50,5.65,1.12,0.02,0.19,6.64,-1.18,8.64,0.82
811,2017-01-23,0.75,-2.50,1024.58,2.44,7.07,0.55,5.05,1.05,0.01,0.10,6.67,-2.48,8.67,-0.48
378,2017-01-24,0.77,-2.72,1026.13,2.52,6.41,0.57,5.30,1.07,0.00,0.01,5.84,-1.88,7.84,0.12
118,2017-01-25,0.79,-3.35,1025.55,3.03,7.42,0.78,5.99,1.14,0.01,0.15,2.84,-3.92,4.84,-1.92
219,2017-01-26,0.76,-3.36,1019.82,3.76,7.01,0.45,7.24,1.21,0.05,0.61,6.19,0.44,8.19,2.44
492,2017-01-27,0.73,1.02,1013.83,5.09,8.86,0.78,9.31,1.29,0.04,0.33,10.09,4.84,12.09,6.84
