id;temp;type
250;88.39;mf
599;89.6;mf
607;83.57;mf
1106;81.06;mf
898;76.3;mf
524;72.62;mf
295;71.12;mf
164;84.09;mf
32;86.36;mf
93;85.99;mf
644;86.62;mf
1040;83.21;mf
249;72.5;mf
413;74.32;mf
1021;81.23;mf
446;79.99;mf
350;69.38;mf
587;66.23;mf
311;69.24;mf
1168;72.75;mf
592;71.94;mf
184;74.89;mf
811;75.59;mf
378;77.97;mf
118;79.24;mf
219;76.48;mf
492;73.43;mf
223;79.13;mf
67;83.12;mf
314;88.53;mf
150;89.25;mf
713;87.28;mf
626;81.33;mf
278;81.79;mf
807;79.99;mf
667;85.45;mf
433;80.19;mf
1036;82.98;mf
355;83.42;mf
392;80.31;mf
287;79.41;mf
17;81.61;mf
253;78.46;mf
337;69.53;mf
1124;77.45;mf
954;77.94;mf
227;83.01;mf
62;82.9;mf
66;78.35;mf
28;78.89;mf
1090;81.61;mf
1081;84.22;mf
369;80.01;mf
386;77.67;mf
763;72.99;mf
1097;69.51;mf
483;74.13;mf
936;76.76;mf
170;78.9;mf
497;77.34;mf
830;73.47;mf
1005;74.54;mf
445;79.32;mf
145;79.19;mf
621;75.96;mf
116;75.99;mf
630;82.77;mf
206;80.47;mf
384;74.92;mf
759;66.52;mf
965;78.7;mf
166;77.09;mf
330;76.26;mf
573;75.29;mf
366;72.12;mf
288;74.17;mf
120;79.9;mf
909;79.14;mf
1057;78.08;mf
876;77.22;mf
623;78.43;mf
526;81.65;mf
94;82.93;mf
788;73.28;mf
196;67.48;mf
658;67.38;mf
1076;69.59;mf
543;65.42;mf
1077;61.42;mf
57;67.35;mf
689;78.99;mf
7;79.51;mf
815;71.1;mf
990;69.31;mf
901;69.67;mf
914;66.99;mf
944;67.05;mf
1067;65.1;mf
678;62.94;mf
840;68.15;mf
751;66.92;mf
1042;65.38;mf
709;68.06;mf
863;67.72;mf
622;73.7;mf
1070;68.31;mf
1008;68.62;mf
1009;60.62;mf
641;52.15;mf
499;47.98;mf
847;50.15;mf
677;59.34;mf
782;59.47;mf
1011;61.66;mf
1102;72.4;mf
224;77.02;mf
683;71.2;mf
382;66.11;mf
444;60.28;mf
230;67.66;mf
761;74.01;mf
195;77.59;mf
138;77.94;mf
347;78.63;mf
1029;73.18;mf
402;79.93;mf
252;76.08;mf
1178;74.01;mf
993;65.67;mf
352;68.92;mf
704;79.03;mf
1157;79.54;mf
610;77.92;mf
506;72.1;mf
192;65.82;mf
951;61.19;mf
128;66.68;mf
959;78.56;mf
738;75.57;mf
714;69.78;mf
743;64.77;mf
907;63.55;mf
1063;72.46;mf
888;71.06;mf
20;64.83;mf
881;61.71;mf
1154;63.33;mf
1028;62.64;mf
987;65.95;mf
419;73.04;mf
645;73.05;mf
835;70.83;mf
194;72.12;mf
873;80.37;mf
591;72.02;mf
579;68.71;mf
779;68.43;mf
1017;62.81;mf
389;62.77;mf
1079;70.1;mf
191;64.46;mf
467;65.44;mf
1165;66.92;mf
14;68.2;mf
80;68.56;mf
11;70.64;mf
673;64.61;mf
38;59.93;mf
321;57.95;mf
452;57.56;mf
1006;60.16;mf
113;62.92;mf
586;65.77;mf
415;70.07;mf
437;68.1;mf
762;66.7;mf
1120;70.03;mf
813;76.65;mf
410;79.2;mf
642;74.46;mf
838;76.18;mf
1177;77.53;mf
536;76.44;mf
854;70.6;mf
665;65.93;mf
471;61.06;mf
3;61.83;mf
878;60.54;mf
603;64.62;mf
742;73.07;mf
707;78.19;mf
1155;74.43;mf
778;74.59;mf
313;69;mf
578;65.34;mf
939;61.12;mf
559;60.67;mf
388;61.2;mf
655;56.62;mf
781;64.72;mf
519;69.23;mf
277;69.6;mf
1128;74.17;mf
604;72.02;mf
88;75.32;mf
190;71.33;mf
495;73.86;mf
83;72.37;mf
943;68.25;mf
243;68.76;mf
481;68.64;mf
1181;69.52;mf
473;68.74;mf
500;68.22;mf
282;67.1;mf
89;66.97;mf
108;67.79;mf
803;61.92;mf
691;58.82;mf
129;73.67;mf
6;72.89;mf
30;73.65;mf
1048;71.48;mf
697;70.99;mf
305;68.21;mf
439;65.63;mf
521;70.99;mf
625;71.87;mf
750;72.1;mf
1151;74.93;mf
414;67.04;mf
561;61.77;mf
418;62.53;mf
991;62.59;mf
534;70.91;mf
71;72.21;mf
705;71.4;mf
346;69.21;mf
999;66.94;mf
156;65.25;mf
814;67.37;mf
1147;75.72;mf
152;76.73;mf
874;71.52;mf
615;69.87;mf
147;70.4;mf
1169;73.29;mf
377;75.22;mf
76;70.2;mf
502;69.18;mf
669;73.11;mf
348;79.31;mf
248;75.85;mf
546;71.48;mf
576;69.2;mf
880;75.27;mf
539;74.27;mf
538;74.62;mf
271;77.53;mf
460;78.2;mf
533;79.94;mf
303;75.67;mf
1069;71.81;mf
220;69.91;mf
728;74.57;mf
430;75.07;mf
293;74.67;mf
1;81.24;mf
858;81.43;mf
648;77.66;mf
351;75.72;mf
1110;74.88;mf
822;80.76;mf
349;85.08;mf
897;84.57;mf
238;79.75;mf
515;76.56;mf
600;77.89;mf
794;71.63;mf
870;69.64;mf
441;78.58;mf
684;81.01;mf
1032;80.2;mf
928;75.99;mf
1038;79.73;mf
203;77.92;mf
290;78.44;mf
886;76.93;mf
438;73.62;mf
542;75.78;mf
105;78.77;mf
720;78.6;mf
694;76.16;mf
458;78.74;mf
333;72.29;mf
1180;77.64;mf
795;79.79;mf
617;78.37;mf
966;79.79;mf
725;80.64;mf
1099;77.2;mf
1175;80.39;mf
619;73.92;mf
800;74.3;mf
872;74.47;mf
986;80.78;mf
563;82.48;mf
19;84.09;mf
475;79.15;mf
466;74.33;mf
780;76.52;mf
1190;80.42;mf
92;83.77;mf
160;84.01;mf
530;85.31;mf
367;80.84;mf
65;72.25;mf
508;73.63;mf
45;77.88;mf
1104;79.96;mf
292;79.92;mf
956;82.58;mf
218;81.94;mf
934;83.95;mf
85;81.13;mf
1107;74.87;mf
724;73.93;mf
688;82.94;mf
1142;80.81;mf
155;74.41;mf
855;76.44;mf
318;80.05;mf
1045;82.72;mf
953;78.81;mf
37;81.17;mf
436;81.56;mf
729;81.82;mf
740;83.29;mf
104;84.36;mf
957;83.17;mf
553;83.05;mf
744;78.58;mf
1125;75.48;mf
887;85.26;mf
25;84.9;mf
698;81.96;mf
975;80.81;mf
784;80.12;mf
1153;80.22;mf
647;78.68;mf
339;81.47;mf
119;84.37;mf
1135;86.01;mf
27;88.3;mf
558;88.65;mf
984;89.77;mf
1152;87.52;mf
571;86.8;mf
791;86.3;mf
890;82.07;mf
552;79.33;mf
1186;76.06;mf
464;82.35;mf
1183;84.12;mf
766;79.97;mf
320;76.96;mf
1119;81.45;mf
498;77.23;mf
435;83.18;mf
581;83.7;mf
692;88.69;mf
162;83.28;mf
357;84.96;mf
199;87.85;mf
575;84.57;mf
265;87.28;mf
1056;85.76;mf
601;83.9;mf
746;85.04;mf
175;85.44;mf
828;81.38;mf
1041;70.63;mf
1140;80.22;mf
117;79.89;mf
267;85.02;mf
903;85.59;mf
431;84.65;mf
557;84.24;mf
616;83.42;mf
1054;84.49;mf
680;86.61;mf
442;88.84;mf
396;88.49;mf
395;87.67;mf
997;88.61;mf
866;85.33;mf
1141;82.04;mf
963;79.91;mf
834;80.79;mf
817;80.12;mf
496;83.7;mf
167;82.55;mf
331;78.07;mf
307;78.17;mf
163;79.49;mf
408;77.22;mf
365;79.32;mf
236;71.39;mf
111;73.76;mf
125;82.38;mf
137;86;mf
593;83.72;mf
1129;85.09;mf
316;85.33;mf
390;86.2;mf
34;82.5;mf
95;70.79;mf
851;68.17;mf
703;66;mf
614;67.98;mf
84;62.51;mf
179;51.83;mf
279;54.3;mf
1010;62.96;mf
487;79.34;mf
927;73.65;mf
1145;77.41;mf
260;82.24;mf
804;82.65;mf
833;82.26;mf
336;77.08;mf
16;73.81;mf
971;77.29;mf
135;81.95;mf
52;78.76;mf
727;77.06;mf
1060;72.96;mf
666;71.29;mf
385;81.08;mf
1182;81.54;mf
611;85.18;mf
1072;80.67;mf
454;77;mf
294;68.14;mf
157;60.92;mf
197;65.79;mf
783;74.56;mf
510;76.98;mf
734;74.04;mf
1074;74.84;mf
43;82.81;mf
748;82.75;mf
1148;76.63;mf
911;78.27;mf
73;77.86;mf
1163;69.41;mf
793;69.16;mf
560;72.68;mf
926;77.93;mf
1162;69.86;mf
133;66.27;mf
514;67.52;mf
374;73.78;mf
583;83.69;mf
770;79.26;mf
787;76.88;mf
643;80.59;mf
205;79.84;mf
594;79.4;mf
955;74.15;mf
613;71.92;mf
1037;67.14;mf
919;60.09;mf
921;58.26;mf
871;60.21;mf
513;60.75;mf
516;64.67;mf
768;74.53;mf
411;74.03;mf
569;76.57;mf
478;67.6;mf
185;68.88;mf
1023;74.72;mf
801;83.27;mf
1085;77.81;mf
494;72.95;mf
722;73.33;mf
995;71.89;mf
86;68.77;mf
545;68.11;mf
1018;69.55;mf
