id;temp;type
250;1.9;mf
599;2.92;mf
607;1.82;mf
1106;2.28;mf
898;2.95;mf
524;-0.23;mf
295;0.12;mf
164;3.95;mf
32;4.84;mf
93;5.48;mf
644;6.53;mf
1040;7.43;mf
249;4.66;mf
413;3.5;mf
1021;3.55;mf
446;3.56;mf
350;-0.09;mf
587;-0.95;mf
311;-1.07;mf
1168;-0.57;mf
592;0.84;mf
184;1.4;mf
811;1.75;mf
378;0.93;mf
118;-0.12;mf
219;0.36;mf
492;5.55;mf
223;6.83;mf
67;6.41;mf
314;8.2;mf
150;9.43;mf
713;9.33;mf
626;10.07;mf
278;8.18;mf
807;7.85;mf
667;7.03;mf
433;6.53;mf
1036;7.6;mf
355;5.84;mf
392;4.34;mf
287;3.93;mf
17;3.79;mf
253;6.57;mf
337;9.6;mf
1124;9.56;mf
954;9.83;mf
227;8.84;mf
62;8.11;mf
66;7.26;mf
28;6.88;mf
1090;8.72;mf
1081;10.08;mf
369;10.15;mf
386;9.44;mf
763;7.52;mf
1097;6.26;mf
483;8.34;mf
936;9.15;mf
170;7.4;mf
497;8.44;mf
830;9.3;mf
1005;10.12;mf
445;8.4;mf
145;7.58;mf
621;8.9;mf
116;7.96;mf
630;9.75;mf
206;11.58;mf
384;11.21;mf
759;11.27;mf
965;10.39;mf
166;10.36;mf
330;9.9;mf
573;10.69;mf
366;11.28;mf
288;10.66;mf
120;10.5;mf
909;11.62;mf
1057;11.48;mf
876;9.82;mf
623;8.16;mf
526;8.59;mf
94;9.03;mf
788;10.52;mf
196;10.63;mf
658;11.61;mf
1076;12.1;mf
543;13.35;mf
1077;14.74;mf
57;13.58;mf
689;10.67;mf
7;10.58;mf
815;12.23;mf
990;12.33;mf
901;11.69;mf
914;10.57;mf
944;11.15;mf
1067;13.88;mf
678;15.25;mf
840;13.83;mf
751;12;mf
1042;12.21;mf
709;12.82;mf
863;12.78;mf
622;12.01;mf
1070;11.76;mf
1008;11.34;mf
1009;9.87;mf
641;8.25;mf
499;7.88;mf
847;10.13;mf
677;12.01;mf
782;11.97;mf
1011;12.37;mf
1102;10.05;mf
224;7.32;mf
683;7.01;mf
382;8.45;mf
444;10.61;mf
230;11.21;mf
761;9.99;mf
195;10.97;mf
138;11.23;mf
347;11.85;mf
1029;13.5;mf
402;13.1;mf
252;13.05;mf
1178;12.17;mf
993;12.52;mf
352;13.77;mf
704;14.63;mf
1157;15.29;mf
610;15.13;mf
506;15.69;mf
192;17.57;mf
951;19.9;mf
128;19.39;mf
959;15.58;mf
738;12.38;mf
714;13.06;mf
743;15.52;mf
907;17.91;mf
1063;17.81;mf
888;18.99;mf
20;20.53;mf
881;21.25;mf
1154;21.42;mf
1028;22.03;mf
987;20.9;mf
419;18.94;mf
645;18.69;mf
835;19.92;mf
194;20.31;mf
873;17.7;mf
591;16.28;mf
579;17.03;mf
779;15.75;mf
1017;15.57;mf
389;18.7;mf
1079;18.63;mf
191;20.73;mf
467;21.89;mf
1165;20.17;mf
14;20.71;mf
80;22.36;mf
11;22.02;mf
673;20.67;mf
38;21.57;mf
321;23.46;mf
452;24.88;mf
1006;25.27;mf
113;25.47;mf
586;24.56;mf
415;21.86;mf
437;21.19;mf
762;21.27;mf
1120;21.28;mf
813;20.85;mf
410;18.49;mf
642;16.72;mf
838;15.83;mf
1177;16.11;mf
536;17.34;mf
854;19.3;mf
665;21.21;mf
471;23.38;mf
3;23.78;mf
878;24.61;mf
603;23.57;mf
742;21.78;mf
707;20.01;mf
1155;19.92;mf
778;20.45;mf
313;20.32;mf
578;20.12;mf
939;20.24;mf
559;22.22;mf
388;23.49;mf
655;24.81;mf
781;23.22;mf
519;20.37;mf
277;19.57;mf
1128;19.64;mf
604;19.29;mf
88;18.68;mf
190;18.63;mf
495;18.94;mf
83;19.98;mf
943;20.45;mf
243;22.07;mf
481;21.85;mf
1181;21.19;mf
473;21.73;mf
500;22.96;mf
282;23.35;mf
89;22.79;mf
108;21.43;mf
803;19.78;mf
691;20.39;mf
129;18.56;mf
6;16.94;mf
30;16.4;mf
1048;16.49;mf
697;17.9;mf
305;19.18;mf
439;21.32;mf
521;21.08;mf
625;20.6;mf
750;21.78;mf
1151;20.47;mf
414;18.38;mf
561;17.89;mf
418;20.22;mf
991;22.3;mf
534;21.4;mf
71;21.15;mf
705;21.7;mf
346;22.52;mf
999;23.35;mf
156;24.2;mf
814;23.65;mf
1147;20.76;mf
152;17.06;mf
874;16.45;mf
615;15.85;mf
147;15.87;mf
1169;18.67;mf
377;19.72;mf
76;18.23;mf
502;16.75;mf
669;16.96;mf
348;15.28;mf
248;14.97;mf
546;15.82;mf
576;15.62;mf
880;17.2;mf
539;15.15;mf
538;12.88;mf
271;12.16;mf
460;12.28;mf
533;12.67;mf
303;12.93;mf
1069;13.27;mf
220;14.43;mf
728;14.9;mf
430;15.68;mf
293;16.97;mf
1;16.07;mf
858;15.88;mf
648;16.27;mf
351;17.53;mf
1110;18.01;mf
822;15.11;mf
349;14.95;mf
897;17.01;mf
238;15.95;mf
515;14.15;mf
600;14.57;mf
794;13.17;mf
870;11.94;mf
441;13.46;mf
684;14.06;mf
1032;14.37;mf
928;15.26;mf
1038;15.98;mf
203;16.01;mf
290;15.93;mf
886;17.11;mf
438;17.62;mf
542;15.74;mf
105;15.91;mf
720;15.82;mf
694;15.14;mf
458;14.72;mf
333;12.12;mf
1180;12.65;mf
795;14.68;mf
617;15.03;mf
966;14.72;mf
725;13.93;mf
1099;10.95;mf
1175;11.45;mf
619;9.91;mf
800;8.04;mf
872;9.77;mf
986;12.08;mf
563;12.23;mf
19;13.03;mf
475;9.51;mf
466;6.97;mf
780;6.08;mf
1190;6.88;mf
92;7.51;mf
160;9.1;mf
530;11.1;mf
367;10.81;mf
65;6.63;mf
508;6.71;mf
45;6.24;mf
1104;6.16;mf
292;7.31;mf
956;6.77;mf
218;6.75;mf
934;7.34;mf
85;9;mf
1107;10.26;mf
724;12.34;mf
688;10.91;mf
1142;7.92;mf
155;4.89;mf
855;5.83;mf
318;5.79;mf
1045;4.62;mf
953;3.55;mf
37;2.55;mf
436;1.9;mf
729;2.13;mf
740;4.69;mf
104;5.15;mf
957;4.28;mf
553;5.71;mf
744;6.06;mf
1125;3.25;mf
887;6.54;mf
25;7.92;mf
698;4.76;mf
975;6.27;mf
784;8.21;mf
1153;6.34;mf
647;4.54;mf
339;4.34;mf
119;5.87;mf
1135;4.01;mf
27;5.15;mf
558;7.33;mf
984;8.02;mf
1152;8.05;mf
571;6.8;mf
791;5.94;mf
890;7.21;mf
552;6;mf
1186;3.53;mf
464;5.42;mf
1183;11.09;mf
766;10.44;mf
320;8.54;mf
1119;8.94;mf
498;11.31;mf
435;12.08;mf
581;9.95;mf
692;7.97;mf
162;8.55;mf
357;7.63;mf
199;7.05;mf
575;7.88;mf
265;6.53;mf
1056;5.68;mf
601;4.74;mf
746;5.1;mf
175;6.95;mf
828;9.72;mf
1041;7.51;mf
1140;8.26;mf
117;7.13;mf
267;7.98;mf
903;9.74;mf
431;10.82;mf
557;9.89;mf
616;10.36;mf
1054;9.06;mf
680;6.92;mf
442;5.9;mf
396;7.19;mf
395;7.98;mf
997;7.91;mf
866;7.72;mf
1141;5.47;mf
963;4.14;mf
834;4.31;mf
817;3.79;mf
496;2.53;mf
167;2.45;mf
331;1.58;mf
307;1.4;mf
163;2.18;mf
408;3.49;mf
365;5.5;mf
236;3.66;mf
111;2.28;mf
125;3.98;mf
137;8.47;mf
593;7.95;mf
1129;7.23;mf
