id;date_releve;humidity;dewpoint;pressure;windspeed;visibility;cloudcover;windgust;uvindex;precipintensity;precipintensitymax;temperaturehigh;temperaturelow;temperaturehighoffset2;temperaturelowoffset2;temperature
250;2017-01-01;88;0.03;0;1.98;5.73;89;4.45;0.81;0;0.04;6;0.58;8;2.58;3.29
599;2017-01-02;89;1.26;1024.14;2.47;6.5;85;5.32;0.9;0.01;0.15;6.15;-0.37;8.15;1.63;2.89
607;2017-01-03;83;-1;1027.58;2.76;7.95;79;6.15;0.69;0;0.03;5.2;-1.5;7.2;0.5;1.85
1106;2017-01-04;81;-1.05;1025.67;3.32;8.51;82;7.19;0.86;0;0.06;6.67;0.68;8.67;2.68;3.675
898;2017-01-05;76;-1.34;1029.15;3.73;9.4;69;7.3;0.93;0.01;0.11;6.71;-3.18;8.71;-1.18;1.765
524;2017-01-06;72;-5.09;1035.37;2.82;9.18;47;5.83;0.55;0;0.02;4.11;-4.31;6.11;-2.31;-0.1
295;2017-01-07;70;-5.32;1034.3;2.37;8.91;79;4.42;0.69;0;0.05;5.06;0.25;7.06;2.25;2.655
164;2017-01-08;84;1.23;1031.54;2.3;6.37;89;5.05;0.95;0;0.06;7.66;2.29;9.66;4.29;4.975
32;2017-01-09;86;2.57;1026.66;3.18;7.17;88;7.09;0.95;0.02;0.26;8.01;3.31;10.01;5.31;5.66
93;2017-01-10;86;3.25;1014.61;3.77;8.98;88;7.6;0.95;0.05;0.35;7.93;3.54;9.93;5.54;5.735
644;2017-01-11;86;4.37;1018.34;3.81;8.48;88;8.41;0.98;0.02;0.2;9.92;5.18;11.92;7.18;7.55
1040;2017-01-12;83;4.74;1015.09;4.76;9.39;88;16.37;0.93;0.08;0.86;10.61;2.84;12.61;4.84;6.725
249;2017-01-13;72;-0.2;1013.49;7.07;9.87;75;18.08;1.02;0.04;0.38;6.98;0.87;8.98;2.87;3.925
413;2017-01-14;74;-0.99;1021.12;4.93;9.86;74;10.18;1.05;0.01;0.09;6.51;1.4;8.51;3.4;3.955
1021;2017-01-15;81;0.18;1023.5;4.14;9.3;84;7.92;1.02;0.02;0.18;5.97;2.03;7.97;4.03;4
