id;date_iso;humidite;point_rose;press_sta;press_mer;vvent;visibilite;nebulosite;rafale_10min;precip_24h;precip_01h;temperature;temperatureoffset2;temperature_diurne;temperature_diurne_offset2;temperature_nocturne;temperature_nocturne_offset2;origine
250;2017-01-01;88.39;-0.1;1002.19;1024.27;2.27;9.99;90.32;3.44;0.03;0;1.9;3.9;2.55;4.55;0.81;2.81;MF
599;2017-01-02;89.6;1.19;1002.04;1024.15;2.53;10.31;92.11;3.83;0.62;0.05;2.92;4.92;3.48;5.48;1.99;3.99;MF
607;2017-01-03;83.57;-1.01;1005.24;1027.58;2.86;14.99;82.75;4.46;0.4;0;1.82;3.82;2.29;4.29;1.03;3.03;MF
1106;2017-01-04;81.06;-1.07;1003.44;1025.71;3.41;19.19;84.1;5.32;0.08;0.01;2.28;4.28;3.05;5.05;0.99;2.99;MF
898;2017-01-05;76.3;-1.37;1006.73;1029.17;3.76;22.42;71.45;5.85;0.24;0;2.95;4.95;3.66;5.66;1.75;3.75;MF
524;2017-01-06;72.62;-5.13;1012.65;1035.38;2.85;22.4;51.04;4.51;0.03;0;-0.23;1.78;0.35;2.35;-1.18;0.82;MF
295;2017-01-07;71.12;-5.3;1011.7;1034.29;2.41;19.17;79.97;3.73;0.03;0;0.12;2.12;1.05;3.05;-1.43;0.57;MF
164;2017-01-08;84.09;1.17;1009.11;1031.56;2.3;14.16;95.13;3.64;0.25;0.01;3.95;5.95;4.74;6.74;2.64;4.64;MF
32;2017-01-09;86.36;2.56;1004.56;1026.6;3.16;15.72;89.73;4.95;0.45;0.04;4.84;6.84;5.27;7.27;4.13;6.13;MF
93;2017-01-10;85.99;3.2;993;1014.73;3.84;19.72;95.13;5.95;3.3;0.17;5.48;7.48;5.82;7.82;4.91;6.91;MF
644;2017-01-11;86.62;4.32;996.74;1018.36;3.83;18.16;93.35;5.92;1.87;0.02;6.53;8.53;7.18;9.18;5.45;7.45;MF
1040;2017-01-12;83.21;4.63;993.35;1014.77;4.85;21.83;92.8;7.56;1.56;0.15;7.43;9.43;7.77;9.77;6.85;8.85;MF
249;2017-01-13;72.5;-0.22;991.62;1013.44;7.21;32.44;84.02;11.71;5.22;0.11;4.66;6.66;4.56;6.56;4.81;6.81;MF
413;2017-01-14;74.32;-1.03;998.99;1021.08;5.02;32.66;81.6;7.86;1.26;0.02;3.5;5.5;3.86;5.86;2.9;4.9;MF
1021;2017-01-15;81.23;0.12;1001.32;1023.49;4.2;22.52;90.96;6.5;1.53;0.11;3.55;5.55;3.92;5.92;2.95;4.95;MF
446;2017-01-16;79.99;-0.08;1001.03;1023.25;4.14;21.46;88.51;6.4;2.83;0.07;3.56;5.56;3.98;5.98;2.84;4.84;MF
350;2017-01-17;69.38;-5.54;1005.18;1028;5.03;23.56;64.97;8.02;0.66;0;-0.09;1.91;0.22;2.22;-0.61;1.39;MF
587;2017-01-18;66.23;-6.83;1006.62;1029.62;4.44;21.52;61.86;7.05;0.03;0;-0.95;1.05;-0.42;1.58;-1.83;0.17;MF
311;2017-01-19;69.24;-6.32;1007.09;1030.16;3.48;14.86;47.62;5.49;0.01;0;-1.07;0.93;-0.29;1.71;-2.38;-0.38;MF
1168;2017-01-20;72.75;-5.2;1006.15;1029.01;2.86;13.09;42.03;4.35;0.17;0.02;-0.57;1.43;0.53;2.53;-2.41;-0.41;MF
592;2017-01-21;71.94;-4.18;1003.13;1025.8;2.71;15.18;48.3;4.11;0.42;0;0.84;2.84;2.05;4.05;-1.18;0.82;MF
184;2017-01-22;74.89;-3.11;1001.33;1023.95;2.81;13.34;81.74;4.4;1.69;0.12;1.4;3.4;2.24;4.24;0;2;MF
811;2017-01-23;75.59;-2.69;1001.73;1024.6;2.42;11.49;84.13;3.81;1.86;0.04;1.75;3.75;2.58;4.58;0.38;2.38;MF
378;2017-01-24;77.97;-2.93;1003.14;1026.15;2.58;10.4;87.84;3.99;0.29;0;0.93;2.93;1.72;3.72;-0.38;1.62;MF
118;2017-01-25;79.24;-3.52;1002.59;1025.51;3.09;10.94;90.15;4.8;0.05;0;-0.12;1.88;0.27;2.27;-0.77;1.23;MF
219;2017-01-26;76.48;-3.65;997.49;1019.81;3.78;10.63;70.72;6.01;1.01;0.08;0.36;2.36;1.22;3.22;-1.07;0.93;MF
492;2017-01-27;73.43;0.86;992.5;1013.79;5.13;19.86;94.25;8.05;1.84;0.07;5.55;7.55;6.6;8.6;3.8;5.8;MF
223;2017-01-28;79.13;3.27;995.68;1017.36;3.68;25.56;93.61;5.62;1.73;0.07;6.83;8.83;7.41;9.41;5.86;7.86;MF
67;2017-01-29;83.12;3.47;999.05;1020.59;3.39;22.14;89.36;5.09;1.62;0.07;6.41;8.41;7.29;9.29;4.93;6.93;MF
314;2017-01-30;88.53;6.29;996.03;1017.4;3.41;17.09;95.67;6;3.01;0.13;8.2;10.2;8.79;10.79;7.2;9.2;MF
150;2017-01-31;89.25;7.62;994.71;1015.88;2.81;14.43;97.98;4.23;2.95;0.08;9.43;11.43;9.98;11.98;8.51;10.51;MF
