id,date_releve,humidity,dewpoint,pressure,windspeed,visibility,cloudcover,windgust,uvindex,precipintensity,precipintensitymax,temperaturehigh,temperaturelow,temperaturehighoffset2,temperaturelowoffset2,temperature,temperatureoffset2
250,2017-01-01,0.94,-3.14,1024.40,1.12,3.48,0.95,2.97,1.00,0.00,0.01,0.10,-1.83,2.10,0.17,-0.87,1.14
599,2017-01-02,0.96,-0.42,1025.24,1.05,4.07,0.93,3.08,1.00,0.03,0.25,1.55,-1.78,3.55,0.22,-0.12,1.89
607,2017-01-03,0.95,-1.45,1030.17,1.20,3.50,0.95,3.35,1.00,0.01,0.07,0.38,-1.59,2.38,0.41,-0.61,1.40
1106,2017-01-04,0.90,-0.35,1024.07,2.90,8.51,0.89,6.10,1.00,0.03,0.19,3.35,-0.98,5.35,1.02,1.19,3.19
898,2017-01-05,0.87,-1.25,1030.90,1.77,9.82,0.55,4.33,1.00,0.02,0.12,4.23,-6.41,6.23,-4.41,-1.09,0.91
524,2017-01-06,0.82,-6.73,1039.57,1.35,9.89,0.35,4.64,0.82,0.00,0.01,-0.04,-8.83,1.96,-6.83,-4.44,-2.44
295,2017-01-07,0.85,-6.53,1036.30,1.17,7.87,0.80,3.16,1.00,0.01,0.07,-1.08,-1.87,0.92,0.13,-1.48,0.53
164,2017-01-08,0.94,0.50,1033.00,0.78,4.04,0.95,2.36,1.00,0.01,0.08,3.90,1.32,5.90,3.32,2.61,4.61
32,2017-01-09,0.89,1.09,1026.92,1.45,4.54,0.95,4.19,1.00,0.04,0.38,4.69,0.74,6.69,2.74,2.72,4.72
93,2017-01-10,0.90,1.25,1013.44,1.51,7.11,0.84,5.10,1.00,0.09,0.56,4.66,1.76,6.66,3.76,3.21,5.21
644,2017-01-11,0.90,2.98,1015.10,2.88,8.29,0.90,8.27,1.00,0.11,0.42,7.63,4.23,9.63,6.23,5.93,7.93
1040,2017-01-12,0.89,3.76,1011.64,3.42,9.74,0.89,13.46,1.00,0.13,0.82,6.82,1.11,8.82,3.11,3.97,5.97
249,2017-01-13,0.82,-0.31,1008.45,4.53,9.67,0.79,13.74,1.00,0.08,0.53,4.26,-0.35,6.26,1.65,1.96,3.96
413,2017-01-14,0.87,-0.35,1018.25,2.71,9.77,0.74,5.85,1.00,0.04,0.24,3.51,-1.71,5.51,0.29,0.90,2.90
1021,2017-01-15,0.92,-1.09,1023.39,1.43,7.98,0.77,3.80,1.00,0.04,0.24,2.78,-1.71,4.78,0.29,0.54,2.54
446,2017-01-16,0.89,-1.85,1026.14,1.61,8.14,0.83,3.96,1.00,0.01,0.06,1.92,-4.52,3.92,-2.52,-1.30,0.70
