"id","date_releve","humidity","dewpoint","pressure","windspeed","visibility","cloudcover","windgust","uvindex","precipintensity","precipintensitymax","temperaturehigh","temperaturelow","temperaturehighoffset2","temperaturelowoffset2","temperature","temperatureoffset2"
93.0,"2017-01-10",91.0,2.65,1014.73,2.67,8.66,89.0,6.24,0.89,0.11,0.74,6.29,2.05,8.29,4.05,4.17,6.17
1123.0,"2018-09-25",57.0,3.06,1032.7,3.46,16.01,10.0,9.61,4.96,0.0,0.0,19.57,6.25,21.57,8.25,12.91,14.91
474.0,"2020-02-06",62.0,-3.52,1029.13,2.9,16.08,42.0,9.0,1.57,0.0,0.01,10.69,0.27,12.69,2.27,5.48,7.48
644.0,"2017-01-11",92.0,3.81,1018.22,2.95,7.94,93.0,7.05,0.87,0.03,0.2,8.39,4.12,10.39,6.12,6.26,8.26
1040.0,"2017-01-12",89.0,4.4,1015.04,3.7,9.23,92.0,13.46,0.88,0.13,1.05,8.62,1.2,10.62,3.2,4.91,6.91
249.0,"2017-01-13",80.0,-0.4,1013.21,5.11,9.73,78.0,13.02,0.92,0.11,1.11,5.04,-0.76,7.04,1.24,2.14,4.14
413.0,"2017-01-14",83.0,-1.15,1021.38,3.45,9.74,78.0,7.66,0.9,0.04,0.32,4.64,-0.49,6.64,1.51,2.08,4.08
1021.0,"2017-01-15",89.0,-0.23,1024.19,2.65,8.87,87.0,5.85,0.92,0.07,0.39,3.91,0.24,5.91,2.24,2.08,4.08
446.0,"2017-01-16",87.0,-0.49,1024.06,2.95,8.44,85.0,6.73,0.93,0.03,0.2,4.21,-4.47,6.21,-2.47,-0.13,1.87
350.0,"2017-01-17",77.0,-5.88,1029.21,3.96,8.96,54.0,8.02,0.76,0.0,0.02,1.0,-5.69,3.0,-3.69,-2.35,-0.35
587.0,"2017-01-18",74.0,-7.23,1030.58,3.47,9.64,57.0,7.16,0.75,0.0,0.01,0.7,-6.73,2.7,-4.73,-3.02,-1.02
311.0,"2017-01-19",76.0,-7.07,1031.0,2.44,9.34,32.0,5.56,0.62,0.0,0.02,1.74,-7.32,3.74,-5.32,-2.79,-0.79
1168.0,"2017-01-20",78.0,-6.28,1029.7,1.84,8.0,17.0,4.28,0.78,0.0,0.02,3.84,-6.44,5.84,-4.44,-1.3,0.7
