id,date_releve,humidity,dewpoint,pressure,windspeed,visibility,cloudcover,windgust,uvindex,precipintensity,precipintensitymax,temperaturehigh,temperaturelow,temperaturehighoffset2,temperaturelowoffset2,temperature,origine
250,2017-01-01,0.93,-1.48,1021.65,1.23,4.75,0.95,3.56,0.75,0.00,0.04,3.02,-1.17,5.02,0.83,0.925,DSK
599,2017-01-02,0.93,-0.18,1024.51,1.49,5.94,0.88,4.17,0.86,0.01,0.11,3.96,-2.00,5.96,0.00,0.98,DSK
607,2017-01-03,0.89,-2.00,1028.45,2.05,7.20,0.84,5.06,0.72,0.00,0.04,2.87,-2.95,4.87,-0.95,-0.04,DSK
1106,2017-01-04,0.87,-1.75,1026.30,2.47,7.89,0.89,5.68,0.79,0.01,0.10,4.13,-0.92,6.13,1.08,1.605,DSK
898,2017-01-05,0.84,-1.54,1030.26,2.56,9.01,0.71,5.67,0.82,0.06,0.67,4.89,-5.40,6.89,-3.40,-0.255,DSK
524,2017-01-06,0.79,-5.94,1036.46,2.11,9.10,0.44,5.24,0.48,0.00,0.05,2.16,-6.77,4.16,-4.77,-2.305,DSK
295,2017-01-07,0.77,-6.30,1035.10,1.61,8.90,0.79,4.14,0.67,0.01,0.11,2.81,-1.41,4.81,0.59,0.7,DSK
164,2017-01-08,0.89,0.33,1032.34,1.66,5.88,0.93,4.34,0.86,0.01,0.14,5.51,0.71,7.51,2.71,3.11,DSK
32,2017-01-09,0.91,1.70,1027.32,2.27,6.50,0.93,6.00,0.86,0.05,0.62,6.03,1.95,8.03,3.95,3.99,DSK
93,2017-01-10,0.91,2.65,1014.73,2.67,8.66,0.89,6.24,0.89,0.11,0.74,6.29,2.05,8.29,4.05,4.17,DSK
644,2017-01-11,0.92,3.81,1018.22,2.95,7.94,0.93,7.05,0.87,0.03,0.20,8.39,4.12,10.39,6.12,6.255,DSK
1040,2017-01-12,0.89,4.40,1015.04,3.70,9.23,0.92,13.46,0.88,0.13,1.05,8.62,1.20,10.62,3.20,4.91,DSK
249,2017-01-13,0.80,-0.40,1013.21,5.11,9.73,0.78,13.02,0.92,0.11,1.11,5.04,-0.76,7.04,1.24,2.14,DSK
413,2017-01-14,0.83,-1.15,1021.38,3.45,9.74,0.78,7.66,0.90,0.04,0.32,4.64,-0.49,6.64,1.51,2.075,DSK
1021,2017-01-15,0.89,-0.23,1024.19,2.65,8.87,0.87,5.85,0.92,0.07,0.39,3.91,0.24,5.91,2.24,2.075,DSK
446,2017-01-16,0.87,-0.49,1024.06,2.95,8.44,0.85,6.73,0.93,0.03,0.20,4.21,-4.47,6.21,-2.47,-0.13,DSK
350,2017-01-17,0.77,-5.88,1029.21,3.96,8.96,0.54,8.02,0.76,0.00,0.02,1.00,-5.69,3.00,-3.69,-2.345,DSK
587,2017-01-18,0.74,-7.23,1030.58,3.47,9.64,0.57,7.16,0.75,0.00,0.01,0.70,-6.73,2.70,-4.73,-3.015,DSK
311,2017-01-19,0.76,-7.07,1031.00,2.44,9.34,0.32,5.56,0.62,0.00,0.02,1.74,-7.32,3.74,-5.32,-2.79,DSK
1168,2017-01-20,0.78,-6.28,1029.70,1.84,8.00,0.17,4.28,0.78,0.00,0.02,3.84,-6.44,5.84,-4.44,-1.3,DSK
592,2017-01-21,0.77,-5.30,1026.61,1.68,7.36,0.16,3.98,0.78,0.00,0.02,5.74,-5.42,7.74,-3.42,0.16,DSK
184,2017-01-22,0.80,-4.55,1024.73,1.55,7.13,0.45,3.80,1.00,0.02,0.09,4.61,-4.13,6.61,-2.13,0.24,DSK
811,2017-01-23,0.80,-4.00,1025.34,1.69,6.63,0.50,4.22,0.97,0.01,0.08,4.91,-5.18,6.91,-3.18,-0.135,DSK
378,2017-01-24,0.83,-4.13,1027.16,1.82,5.75,0.62,4.50,0.96,0.03,0.46,3.31,-3.97,5.31,-1.97,-0.33,DSK
118,2017-01-25,0.85,-4.62,1026.39,2.26,7.17,0.81,5.22,1.05,0.00,0.03,0.33,-6.34,2.33,-4.34,-3.005,DSK
219,2017-01-26,0.80,-4.68,1020.46,2.69,6.84,0.43,6.13,1.17,0.04,0.28,4.44,-1.41,6.44,0.59,1.515,DSK
492,2017-01-27,0.76,0.05,1014.16,3.72,8.76,0.78,8.27,1.11,0.04,0.29,8.55,3.21,10.55,5.21,5.88,DSK
223,2017-01-28,0.83,2.59,1017.59,2.47,9.26,0.84,6.28,1.22,0.10,0.93,9.12,0.99,11.12,2.99,5.055,DSK
67,2017-01-29,0.87,2.70,1021.00,2.29,8.64,0.79,5.54,1.08,0.03,0.30,9.64,3.48,11.64,5.48,6.56,DSK
314,2017-01-30,0.91,5.57,1017.23,2.59,7.80,0.93,5.99,1.21,0.09,0.56,9.62,6.18,11.62,8.18,7.9,DSK
150,2017-01-31,0.92,6.86,1015.90,1.98,6.98,0.92,4.24,1.11,0.05,0.28,11.50,5.21,13.50,7.21,8.355,DSK
713,2017-02-01,0.90,6.43,1014.12,2.43,7.76,0.87,5.49,1.17,0.01,0.12,12.17,5.94,14.17,7.94,9.055,DSK
626,2017-02-02,0.84,6.38,1007.33,4.07,9.34,0.88,9.06,1.21,0.05,0.49,12.76,4.38,14.76,6.38,8.57,DSK
278,2017-02-03,0.86,4.54,1006.04,4.14,9.76,0.83,11.60,1.37,0.12,1.10,10.07,4.10,12.07,6.10,7.085,DSK
807,2017-02-04,0.85,3.90,1002.89,4.33,9.64,0.86,12.89,1.39,0.22,1.59,9.45,3.85,11.45,5.85,6.65,DSK
667,2017-02-05,0.89,4.07,1002.89,3.79,9.21,0.89,10.77,1.45,0.20,1.14,8.19,2.79,10.19,4.79,5.49,DSK
433,2017-02-06,0.86,2.79,1017.61,3.31,9.11,0.88,8.39,1.44,0.06,0.46,7.91,3.40,9.91,5.40,5.655,DSK
1036,2017-02-07,0.89,4.34,1017.61,2.56,8.17,0.89,6.38,1.56,0.09,0.64,9.57,2.41,11.57,4.41,5.99,DSK
355,2017-02-08,0.88,2.57,1022.28,2.88,8.70,0.87,6.32,1.58,0.04,0.33,7.10,0.43,9.10,2.43,3.765,DSK
392,2017-02-09,0.86,0.40,1022.64,2.40,7.61,0.81,5.51,1.58,0.01,0.15,5.82,-0.86,7.82,1.14,2.48,DSK
287,2017-02-10,0.84,-0.27,1018.29,2.37,7.30,0.74,5.30,1.64,0.01,0.07,6.34,-0.75,8.34,1.25,2.795,DSK
17,2017-02-11,0.87,0.00,1018.98,1.99,6.58,0.83,4.40,1.69,0.02,0.12,5.41,0.88,7.41,2.88,3.145,DSK
253,2017-02-12,0.82,2.24,1017.03,3.74,7.52,0.84,9.00,1.58,0.04,0.32,10.03,4.85,12.03,6.85,7.44,DSK
