id,date_iso,humidite,point_rose,press_sta,press_mer,vvent,visibilite,nebulosite,rafale_10min,precip_24h,precip_01h,temperature,temperatureoffset2,temperature_diurne,temperature_diurne_offset2,temperature_nocturne,temperature_nocturne_offset2
186,2020-04-05,53.76,2.86,99590.70,101692.50,4.17,30033.23,52.79,6.49,0.02,0.00,13.05,15.05,15.58,17.58,8.82,10.82
417,2020-04-04,61.24,2.49,99791.68,101929.84,3.02,27672.25,44.51,4.85,0.04,0.00,10.63,12.63,13.05,15.05,6.59,8.59
434,2020-04-03,67.02,2.72,99650.55,101813.85,2.87,25293.41,84.65,4.50,0.05,0.00,9.08,11.08,10.70,12.70,6.38,8.38
651,2020-04-02,64.87,1.16,99442.01,101603.33,3.01,25514.02,81.17,4.81,0.03,0.00,7.91,9.91,9.50,11.50,5.26,7.26
315,2020-04-01,59.44,-0.02,99724.73,101891.15,3.94,27691.55,72.21,6.24,0.29,0.00,7.97,9.97,9.50,11.50,5.42,7.42
1082,2020-03-31,63.62,0.05,99975.67,102163.49,4.92,27289.15,85.14,7.79,0.31,0.01,7.14,9.14,8.57,10.57,4.74,6.74
232,2020-03-30,63.99,-1.49,100104.79,102326.64,6.01,30498.19,92.94,9.54,0.64,0.02,5.38,7.38,6.10,8.10,4.18,6.18
98,2020-03-29,64.66,0.99,100121.28,102321.54,6.87,23513.09,91.16,10.97,0.09,0.01,7.61,9.61,8.14,10.14,6.72,8.72
839,2020-03-28,66.21,3.22,99758.42,101913.85,3.70,16540.72,83.12,5.83,0.10,0.00,9.82,11.82,11.47,13.47,7.06,9.06
1143,2020-03-27,62.75,0.52,99502.53,101672.73,3.22,20388.05,81.11,5.10,1.16,0.01,7.74,9.74,9.35,11.35,5.06,7.06
598,2020-03-26,57.48,-2.19,99351.95,101531.54,4.44,23794.30,74.17,6.93,1.89,0.07,6.22,8.22,7.26,9.26,4.48,6.48
596,2020-03-25,54.40,-2.41,99738.17,101913.94,3.96,27582.34,61.57,6.26,0.15,0.04,6.84,8.84,8.28,10.28,4.45,6.45
254,2020-03-24,58.10,-0.52,100162.80,102340.58,3.69,29733.92,68.96,5.82,0.05,0.00,8.07,10.07,9.41,11.41,5.84,7.84
397,2020-03-23,65.11,2.41,100074.45,102238.69,4.14,25247.59,80.57,6.39,0.09,0.00,9.14,11.14,10.33,12.33,7.15,9.15
69,2020-03-22,71.63,4.01,99631.53,101782.31,4.64,23342.97,91.75,7.16,0.17,0.00,9.21,11.21,10.10,12.10,7.73,9.73
213,2020-03-21,76.33,5.53,99563.63,101704.24,4.73,19317.53,92.17,7.31,0.41,0.01,9.82,11.82,10.71,12.71,8.33,10.33
769,2020-03-20,70.94,6.19,99869.98,101997.97,3.99,20548.70,87.93,6.23,0.28,0.02,11.97,13.97,13.33,15.33,9.70,11.70
859,2020-03-19,72.43,6.83,100150.52,102272.60,2.45,21431.02,63.86,3.79,0.02,0.00,12.30,14.30,14.18,16.18,9.16,11.16
893,2020-03-18,75.95,6.86,100623.41,102768.05,1.87,20888.45,53.23,2.94,0.02,0.00,11.42,13.42,13.27,15.27,8.34,10.34
627,2020-03-17,75.17,6.21,100811.34,102966.54,2.18,23817.68,84.93,3.36,0.75,0.00,10.82,12.82,12.20,14.20,8.52,10.52
849,2020-03-16,77.15,5.80,99904.70,102042.05,3.67,26717.99,87.84,5.71,2.47,0.11,10.03,12.03,10.96,12.96,8.48,10.48
420,2020-03-15,74.30,5.14,99441.67,101544.17,4.21,28728.14,80.63,6.47,0.43,0.02,9.96,11.96,11.49,13.49,7.40,9.40
798,2020-03-14,76.35,4.34,99871.34,102037.69,3.32,30550.94,89.11,5.14,0.77,0.02,8.63,10.63,9.80,11.80,6.68,8.68
241,2020-03-13,72.28,3.88,100046.47,102220.09,3.79,29927.15,82.73,5.94,1.29,0.04,8.98,10.98,9.78,11.78,7.65,9.65
139,2020-03-12,79.47,7.26,99829.30,101957.21,4.50,26393.31,93.94,7.12,1.04,0.03,10.90,12.90,11.55,13.55,9.80,11.80
1002,2020-03-11,82.15,9.16,99898.54,102017.60,5.02,29117.17,90.08,7.67,1.23,0.04,12.39,14.39,13.42,15.42,10.68,12.68
1047,2020-03-10,84.35,7.40,99790.94,101931.83,5.89,23546.88,97.00,9.06,3.86,0.11,10.21,12.21,11.11,13.11,8.70,10.70
23,2020-03-09,77.66,4.34,99782.44,101951.54,5.43,26455.03,90.97,8.58,2.93,0.12,8.27,10.27,8.87,10.87,7.28,9.28
242,2020-03-08,77.72,4.82,99719.39,101863.43,4.96,28833.95,89.49,7.68,0.83,0.06,8.87,10.87,9.80,11.80,7.32,9.32
363,2020-03-07,75.21,3.13,99865.24,102049.04,4.27,27473.95,86.68,6.63,2.09,0.00,7.64,9.64,8.57,10.57,6.09,8.09
747,2020-03-06,77.49,3.09,98507.41,100660.06,5.80,28551.63,88.49,9.22,9.48,0.16,7.01,9.01,7.37,9.37,6.42,8.42
1086,2020-03-05,87.03,6.97,97920.67,100007.02,6.22,20871.41,97.18,9.92,9.71,0.55,9.15,11.15,9.59,11.59,8.41,10.41
429,2020-03-04,83.44,4.27,99126.49,101275.96,3.89,23499.93,93.23,5.92,3.28,0.11,7.19,9.19,7.93,9.93,5.95,7.95
443,2020-03-03,78.96,2.37,98559.69,100719.35,4.48,33114.68,87.60,6.88,6.69,0.15,6.02,8.02,6.58,8.58,5.09,7.09
207,2020-03-02,82.18,4.52,97460.00,99591.87,6.13,25924.31,93.38,9.94,9.03,0.43,7.53,9.53,7.96,9.96,6.82,8.82
867,2020-03-01,78.98,4.93,98065.26,100161.81,5.38,30657.73,91.80,8.40,4.42,0.19,8.55,10.55,9.17,11.17,7.51,9.51
58,2020-02-29,76.64,5.48,98242.81,100321.34,6.82,27502.40,94.50,10.89,2.38,0.15,9.58,11.58,10.23,12.23,8.50,10.50
732,2020-02-28,78.47,3.80,99506.46,101652.21,4.38,26017.36,88.52,6.77,3.71,0.04,7.77,9.77,8.56,10.56,6.46,8.46
862,2020-02-27,79.78,3.43,98834.54,100969.68,6.44,27065.62,90.77,10.21,5.43,0.29,7.00,9.00,7.90,9.90,5.51,7.51
298,2020-02-26,71.64,1.27,99002.38,101168.13,7.29,30376.09,85.60,11.86,3.95,0.13,6.45,8.45,6.78,8.78,5.90,7.90
852,2020-02-25,79.21,5.26,99038.57,101169.10,5.95,26502.45,91.36,9.38,2.47,0.16,8.86,10.86,9.34,11.34,8.08,10.08
31,2020-02-24,78.94,6.58,100107.78,102244.19,4.63,24760.10,91.16,7.26,0.87,0.04,10.66,12.66,11.70,13.70,8.92,10.92
638,2020-02-23,78.34,6.26,100748.14,102898.91,5.11,25294.20,94.23,7.87,0.25,0.02,10.50,12.50,11.66,13.66,8.57,10.57
789,2020-02-22,75.21,3.84,100871.92,103045.32,3.97,27926.40,75.49,6.15,0.04,0.00,8.46,10.46,9.96,11.96,5.97,7.97
1049,2020-02-21,74.00,2.86,100802.90,102996.31,3.61,31091.20,76.06,5.53,0.87,0.00,7.55,9.55,8.63,10.63,5.74,7.74
485,2020-02-20,75.99,4.07,100133.69,102286.15,4.57,29628.22,84.39,7.04,0.78,0.04,8.54,10.54,9.72,11.72,6.58,8.58
297,2020-02-19,77.88,4.20,100513.24,102703.50,4.81,31189.82,90.39,7.39,1.89,0.06,8.07,10.07,8.82,10.82,6.83,8.83
1114,2020-02-18,76.47,3.53,100744.70,102911.69,4.83,31948.45,79.97,7.47,2.25,0.02,7.68,9.68,8.39,10.39,6.49,8.49
869,2020-02-17,82.01,6.33,100075.06,102214.49,5.47,26803.45,91.87,8.64,4.52,0.17,9.36,11.36,9.69,11.69,8.81,10.81
883,2020-02-16,75.41,7.38,99543.38,101628.59,7.16,29213.65,94.60,11.29,2.64,0.15,11.88,13.88,12.74,14.74,10.43,12.43
1025,2020-02-15,78.45,5.45,100016.12,102153.23,4.75,23923.88,86.10,7.31,0.20,0.03,9.41,11.41,10.52,12.52,7.55,9.55
685,2020-02-14,77.87,5.60,100127.07,102291.57,4.05,24257.88,87.79,6.21,2.61,0.01,9.49,11.49,10.27,12.27,8.19,10.19
686,2020-02-13,78.04,4.33,99244.33,101366.35,6.37,26200.49,91.45,10.24,2.43,0.16,8.11,10.11,9.15,11.15,6.39,8.39
40,2020-02-12,74.93,2.61,100072.68,102242.25,4.07,32121.13,84.08,6.31,1.31,0.02,7.14,9.14,7.95,9.95,5.77,7.77
425,2020-02-11,72.77,4.15,99790.67,101941.39,7.06,24763.67,90.85,11.51,3.29,0.08,9.21,11.21,9.45,11.45,8.81,10.81
204,2020-02-10,73.48,6.78,99484.05,101582.12,8.79,21308.96,95.02,14.34,2.66,0.12,11.63,13.63,11.85,13.85,11.27,13.27
1004,2020-02-09,79.85,6.30,99775.73,101885.13,7.01,26022.09,92.91,10.99,0.68,0.03,9.87,11.87,10.69,12.69,8.51,10.51
949,2020-02-08,79.95,4.48,100139.27,102291.60,3.44,24067.80,87.39,5.19,0.98,0.05,8.01,10.01,8.92,10.92,6.49,8.49
555,2020-02-07,75.77,1.89,100183.42,102353.85,3.27,26763.26,68.18,4.92,0.02,0.00,6.19,8.19,7.50,9.50,4.01,6.01
474,2020-02-06,70.08,-0.56,100681.05,102872.78,3.21,29719.66,58.23,4.95,0.01,0.00,5.04,7.04,6.26,8.26,3.01,5.01
831,2020-02-05,70.83,1.19,101092.06,103302.65,3.58,32423.86,77.43,5.66,0.77,0.00,6.75,8.75,7.60,9.60,5.33,7.33
361,2020-02-04,72.06,3.39,100266.02,102459.30,6.86,29650.55,85.11,11.04,4.25,0.10,8.68,10.68,8.79,10.79,8.50,10.50
299,2020-02-03,80.16,8.95,99975.57,102096.79,4.83,24399.47,94.03,7.46,3.76,0.17,12.72,14.72,13.47,15.47,11.49,13.49
