id,date_iso,humidite,point_rose,press_sta,press_mer,vvent,visibilite,nebulosite,rafale_10min,precip_24h,precip_01h,temperature,temperatureoffset2,temperature_diurne,temperature_diurne_offset2,temperature_nocturne,temperature_nocturne_offset2
186,2020-04-05,53.76,2.86,995.91,1016.93,4.17,30.03,52.79,6.49,0.02,0.00,13.05,15.05,15.58,17.58,8.82,10.82
417,2020-04-04,61.24,2.49,997.92,1019.30,3.02,27.67,44.51,4.85,0.04,0.00,10.63,12.63,13.05,15.05,6.59,8.59
434,2020-04-03,67.02,2.72,996.51,1018.14,2.87,25.29,84.65,4.50,0.05,0.00,9.08,11.08,10.70,12.70,6.38,8.38
651,2020-04-02,64.87,1.16,994.42,1016.03,3.01,25.51,81.17,4.81,0.03,0.00,7.91,9.91,9.50,11.50,5.26,7.26
315,2020-04-01,59.44,-0.02,997.25,1018.91,3.94,27.69,72.21,6.24,0.29,0.00,7.97,9.97,9.50,11.50,5.42,7.42
1082,2020-03-31,63.62,0.05,999.76,1021.63,4.92,27.29,85.14,7.79,0.31,0.01,7.14,9.14,8.57,10.57,4.74,6.74
105,2017-10-18,78.77,11.86,992.95,1013.48,3.08,18.79,78.83,4.67,0.79,0.07,15.91,17.91,17.14,19.14,13.86,15.86
232,2020-03-30,63.99,-1.49,1001.05,1023.27,6.01,30.50,92.94,9.54,0.64,0.02,5.38,7.38,6.10,8.10,4.18,6.18
98,2020-03-29,64.66,0.99,1001.21,1023.22,6.87,23.51,91.16,10.97,0.09,0.01,7.61,9.61,8.14,10.14,6.72,8.72
839,2020-03-28,66.21,3.22,997.58,1019.14,3.70,16.54,83.12,5.83,0.10,0.00,9.82,11.82,11.47,13.47,7.06,9.06
1143,2020-03-27,62.75,0.52,995.03,1016.73,3.22,20.39,81.11,5.10,1.16,0.01,7.74,9.74,9.35,11.35,5.06,7.06
598,2020-03-26,57.48,-2.19,993.52,1015.32,4.44,23.79,74.17,6.93,1.89,0.07,6.22,8.22,7.26,9.26,4.48,6.48
596,2020-03-25,54.40,-2.41,997.38,1019.14,3.96,27.58,61.57,6.26,0.15,0.04,6.84,8.84,8.28,10.28,4.45,6.45
254,2020-03-24,58.10,-0.52,1001.63,1023.41,3.69,29.73,68.96,5.82,0.05,0.00,8.07,10.07,9.41,11.41,5.84,7.84
397,2020-03-23,65.11,2.41,1000.74,1022.39,4.14,25.25,80.57,6.39,0.09,0.00,9.14,11.14,10.33,12.33,7.15,9.15
69,2020-03-22,71.63,4.01,996.32,1017.82,4.64,23.34,91.75,7.16,0.17,0.00,9.21,11.21,10.10,12.10,7.73,9.73
213,2020-03-21,76.33,5.53,995.64,1017.04,4.73,19.32,92.17,7.31,0.41,0.01,9.82,11.82,10.71,12.71,8.33,10.33
769,2020-03-20,70.94,6.19,998.70,1019.98,3.99,20.55,87.93,6.23,0.28,0.02,11.97,13.97,13.33,15.33,9.70,11.70
859,2020-03-19,72.43,6.83,1001.51,1022.73,2.45,21.43,63.86,3.79,0.02,0.00,12.30,14.30,14.18,16.18,9.16,11.16
893,2020-03-18,75.95,6.86,1006.23,1027.68,1.87,20.89,53.23,2.94,0.02,0.00,11.42,13.42,13.27,15.27,8.34,10.34
627,2020-03-17,75.17,6.21,1008.11,1029.67,2.18,23.82,84.93,3.36,0.75,0.00,10.82,12.82,12.20,14.20,8.52,10.52
849,2020-03-16,77.15,5.80,999.05,1020.42,3.67,26.72,87.84,5.71,2.47,0.11,10.03,12.03,10.96,12.96,8.48,10.48
420,2020-03-15,74.30,5.14,994.42,1015.44,4.21,28.73,80.63,6.47,0.43,0.02,9.96,11.96,11.49,13.49,7.40,9.40
798,2020-03-14,76.35,4.34,998.71,1020.38,3.32,30.55,89.11,5.14,0.77,0.02,8.63,10.63,9.80,11.80,6.68,8.68
241,2020-03-13,72.28,3.88,1000.46,1022.20,3.79,29.93,82.73,5.94,1.29,0.04,8.98,10.98,9.78,11.78,7.65,9.65
139,2020-03-12,79.47,7.26,998.29,1019.57,4.50,26.39,93.94,7.12,1.04,0.03,10.90,12.90,11.55,13.55,9.80,11.80
