id;date_iso;humidite;point_rose;press_sta;press_mer;vvent;visibilite;nebulosite;rafale_10min;precip_24h;precip_01h;temperature;temperatureoffset2;temperature_diurne;temperature_diurne_offset2;temperature_nocturne;temperature_nocturne_offset2
250;2017-01-01;88.39;-0.1;1002.1944;1024.265;2.27;9.98771;90.32;3.44;0.03;0;1.9;3.9;2.55;4.55;0.81;2.81
599;2017-01-02;89.6;1.19;1002.044;1024.1522;2.53;10.30552;92.11;3.83;0.62;0.05;2.92;4.92;3.48;5.48;1.99;3.99
607;2017-01-03;83.57;-1.01;1005.2429;1027.5778;2.86;14.99149;82.75;4.46;0.4;0;1.82;3.82;2.29;4.29;1.03;3.03
1106;2017-01-04;81.06;-1.07;1003.4441;1025.7088;3.41;19.1901;84.1;5.32;0.08;0.01;2.28;4.28;3.05;5.05;0.99;2.99
898;2017-01-05;76.3;-1.37;1006.725;1029.1653;3.76;22.42109;71.45;5.85;0.24;0;2.95;4.95;3.66;5.66;1.75;3.75
524;2017-01-06;72.62;-5.13;1012.6506;1035.3797;2.85;22.40126;51.04;4.51;0.03;0;-0.23;1.78;0.35;2.35;-1.18;0.82
295;2017-01-07;71.12;-5.3;1011.7003;1034.29;2.41;19.17001;79.97;3.73;0.03;0;0.12;2.12;1.05;3.05;-1.43;0.57
164;2017-01-08;84.09;1.17;1009.1111;1031.559;2.3;14.15711;95.13;3.64;0.25;0.01;3.95;5.95;4.74;6.74;2.64;4.64
32;2017-01-09;86.36;2.56;1004.5601;1026.6047;3.16;15.71641;89.73;4.95;0.45;0.04;4.84;6.84;5.27;7.27;4.13;6.13
93;2017-01-10;85.99;3.2;993;1014.7303;3.84;19.71634;95.13;5.95;3.3;0.17;5.48;7.48;5.82;7.82;4.91;6.91
644;2017-01-11;86.62;4.32;996.7351;1018.3606;3.83;18.15563;93.35;5.92;1.87;0.02;6.53;8.53;7.18;9.18;5.45;7.45
1040;2017-01-12;83.21;4.63;993.3486;1014.7694;4.85;21.82589;92.8;7.56;1.56;0.15;7.43;9.43;7.77;9.77;6.85;8.85
249;2017-01-13;72.5;-0.22;991.6244;1013.4394;7.21;32.44279;84.02;11.71;5.22;0.11;4.66;6.66;4.56;6.56;4.81;6.81
413;2017-01-14;74.32;-1.03;998.989;1021.0847;5.02;32.66438;81.6;7.86;1.26;0.02;3.5;5.5;3.86;5.86;2.9;4.9
1021;2017-01-15;81.23;0.12;1001.3205;1023.4863;4.2;22.51695;90.96;6.5;1.53;0.11;3.55;5.55;3.92;5.92;2.95;4.95
446;2017-01-16;79.99;-0.08;1001.0298;1023.2544;4.14;21.45718;88.51;6.4;2.83;0.07;3.56;5.56;3.98;5.98;2.84;4.84
350;2017-01-17;69.38;-5.54;1005.1843;1027.9976;5.03;23.56456;64.97;8.02;0.66;0;-0.09;1.91;0.22;2.22;-0.61;1.39
587;2017-01-18;66.23;-6.83;1006.6177;1029.6212;4.44;21.51675;61.86;7.05;0.03;0;-0.95;1.05;-0.42;1.58;-1.83;0.17
311;2017-01-19;69.24;-6.32;1007.0851;1030.1612;3.48;14.85661;47.62;5.49;0.01;0;-1.07;0.93;-0.29;1.71;-2.38;-0.38
1168;2017-01-20;72.75;-5.2;1006.1522;1029.009;2.86;13.0923;42.03;4.35;0.17;0.02;-0.57;1.43;0.53;2.53;-2.41;-0.41
592;2017-01-21;71.94;-4.18;1003.1343;1025.8012;2.71;15.18412;48.3;4.11;0.42;0;0.84;2.84;2.05;4.05;-1.18;0.82
184;2017-01-22;74.89;-3.11;1001.3329;1023.9452;2.81;13.34032;81.74;4.4;1.69;0.12;1.4;3.4;2.24;4.24;0;2
811;2017-01-23;75.59;-2.69;1001.7269;1024.5977;2.42;11.48742;84.13;3.81;1.86;0.04;1.75;3.75;2.58;4.58;0.38;2.38
378;2017-01-24;77.97;-2.93;1003.1402;1026.1461;2.58;10.3957;87.84;3.99;0.29;0;0.93;2.93;1.72;3.72;-0.38;1.62
118;2017-01-25;79.24;-3.52;1002.5854;1025.5103;3.09;10.9355;90.15;4.8;0.05;0;-0.12;1.88;0.27;2.27;-0.77;1.23
219;2017-01-26;76.48;-3.65;997.4865;1019.806;3.78;10.62731;70.72;6.01;1.01;0.08;0.36;2.36;1.22;3.22;-1.07;0.93
492;2017-01-27;73.43;0.86;992.501;1013.7858;5.13;19.86084;94.25;8.05;1.84;0.07;5.55;7.55;6.6;8.6;3.8;5.8
223;2017-01-28;79.13;3.27;995.6842;1017.3587;3.68;25.55558;93.61;5.62;1.73;0.07;6.83;8.83;7.41;9.41;5.86;7.86
67;2017-01-29;83.12;3.47;999.0524;1020.5866;3.39;22.13626;89.36;5.09;1.62;0.07;6.41;8.41;7.29;9.29;4.93;6.93
314;2017-01-30;88.53;6.29;996.0255;1017.395;3.41;17.0871;95.67;6;3.01;0.13;8.2;10.2;8.79;10.79;7.2;9.2
150;2017-01-31;89.25;7.62;994.7069;1015.8812;2.81;14.43262;97.98;4.23;2.95;0.08;9.43;11.43;9.98;11.98;8.51;10.51
713;2017-02-01;87.28;7.16;993.0018;1014.08;3.41;17.38676;92.64;5.09;1.58;0.02;9.33;11.33;9.95;11.95;8.29;10.29
626;2017-02-02;81.33;6.85;986.6354;1007.4309;5.52;22.95089;94.04;8.6;1.08;0.09;10.07;12.07;10.77;12.77;8.89;10.89
278;2017-02-03;81.79;5.14;985.056;1006.0075;5.21;28.04619;87.87;8.15;4.04;0.16;8.18;10.18;8.49;10.49;7.65;9.65
807;2017-02-04;79.99;4.36;982.4488;1003.365;5.3;26.98336;91.92;8.39;6.52;0.33;7.85;9.85;8.41;10.41;6.91;8.91
667;2017-02-05;85.45;4.62;982.117;1003.2927;5.26;23.23378;94.49;8.23;8.25;0.42;7.03;9.03;7.36;9.36;6.47;8.47
433;2017-02-06;80.19;3.09;994.686;1016.4642;4.94;24.70843;90.9;7.71;5.64;0.06;6.53;8.53;6.91;8.91;5.89;7.89
1036;2017-02-07;82.98;4.67;995.7807;1017.2794;3.65;20.71379;92.33;5.64;3.06;0.13;7.6;9.6;8.31;10.31;6.43;8.43
355;2017-02-08;83.42;3.06;1000.0097;1021.9528;3.98;23.59139;90.81;6.07;2.68;0.12;5.84;7.84;6.27;8.27;5.13;7.13
392;2017-02-09;80.31;1;1000.0478;1022.0256;3.31;16.09735;92.14;5.19;2.79;0.08;4.34;6.34;4.73;6.73;3.68;5.68
287;2017-02-10;79.41;0.49;996.4241;1018.1617;3.44;14.16395;88.6;5.29;1.07;0.01;3.93;5.93;4.7;6.7;2.66;4.66
17;2017-02-11;81.61;0.74;997.3932;1019.1003;3.16;13.42673;93.33;4.81;0.38;0.01;3.79;5.79;4.35;6.35;2.86;4.86
253;2017-02-12;78.46;2.8;995.4709;1016.8038;5.54;16.97858;93.05;8.69;1.31;0.03;6.57;8.57;7.34;9.34;5.27;7.27
337;2017-02-13;69.53;4;995.2372;1016.3425;6.71;24.60932;90.93;10.48;0.51;0.03;9.6;11.6;10.24;12.24;8.53;10.53
1124;2017-02-14;77.45;5.53;1002.4164;1023.7322;4.35;20.54512;88.98;6.78;2.08;0.04;9.56;11.56;10.33;12.33;8.27;10.27
954;2017-02-15;77.94;5.81;1010.3149;1031.6852;3;20.5245;69.77;4.53;0.69;0.02;9.83;11.83;11.08;13.08;7.74;9.74
227;2017-02-16;83.01;5.82;1010.4893;1031.906;1.87;15.4285;76.38;2.85;0.32;0.01;8.84;10.84;10.07;12.07;6.79;8.79
62;2017-02-17;82.9;5.06;1006.8644;1028.2741;2.11;15.96859;78.33;3.3;0.47;0.01;8.11;10.11;9.2;11.2;6.3;8.3
66;2017-02-18;78.35;3.28;1002.8268;1024.475;2.37;16.52196;59.72;3.65;0.14;0;7.26;9.26;8.54;10.54;5.12;7.12
28;2017-02-19;78.89;3.09;1004.2673;1025.9531;2.32;15.96986;63.6;3.54;0.05;0;6.88;8.88;8.18;10.18;4.7;6.7
1090;2017-02-20;81.61;5.38;1003.6869;1025.3013;3.28;16.8959;87.65;5.06;0.1;0;8.72;10.72;9.58;11.58;7.29;9.29
