id,lat,lon,date_piqure_saisie_jm10,annee_extract,timezone,time,summary,icon,sunrisetime,sunsettime,moonphase,precipintensity,precipintensitymax,precipintensitymaxtime,precipaccumulation,precipprobability,temperaturehigh,temperaturehightime,temperaturelow,temperaturelowtime,dewpoint,humidity,pressure,visibility,windgust,windgusttime,windspeed,windbearing,cloudcover,cloudcovererror,uvindex,uvindextime,temperaturemin,temperaturemintime,temperaturemax,temperaturemaxtime,apparenttemperaturemin,apparenttemperaturemintime,apparenttemperaturemax,apparenttemperaturemaxtime,apparenttemperaturehigh,apparenttemperaturehightime,apparenttemperaturelow,apparenttemperaturelowtime,datasource
145206,43.899868,5.80327,2017-07-03,2017,Europe/Paris,2017-07-02 22:00:00,"","",2017-07-03 04:01:00,2017-07-03 19:24:00,0.34,0,0,"",,0,31.52,2017-07-03 16:00:00,17.94,2017-07-04 03:34:00,9.32,44,1017.9,,,,4.27,21,,,,,16.94,2017-07-03 03:30:00,31.52,2017-07-03 16:00:00,17.21,2017-07-03 03:30:00,31.24,2017-07-03 16:00:00,31.24,2017-07-03 16:00:00,18.21,2017-07-04 03:34:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
147438,45.41907,1.5651833,2017-07-26,2017,Europe/Paris,2017-07-25 22:00:00,"",rain,2017-07-26 04:33:00,2017-07-26 19:30:00,0.12,0.0007,0.0105,26-07-17 20:00:00,,1,20.93,2017-07-26 11:25:00,15.63,2017-07-27 04:49:00,13.98,83,1017.3,,,,1.51,244,,,,,13.44,2017-07-26 00:03:00,20.93,2017-07-26 11:25:00,13.71,2017-07-26 00:03:00,20.65,2017-07-26 11:25:00,20.65,2017-07-26 11:25:00,16.26,2017-07-27 04:50:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
148083,44.785225,-0.412021,2017-08-21,2017,Europe/Paris,2017-08-20 22:00:00,"","",2017-08-21 05:13:00,2017-08-21 19:00:00,0,0,0,"",,0,32.29,2017-08-21 15:20:00,19.54,2017-08-22 04:30:00,11.87,52,1020.3,10.003,,,3.53,83,,,5,2017-08-21 10:00:00,14.64,2017-08-21 04:55:00,32.29,2017-08-21 15:20:00,14.91,2017-08-21 04:55:00,32.01,2017-08-21 15:20:00,32.01,2017-08-21 15:20:00,19.85,2017-08-22 04:37:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
148319,47.8748,0.19268386,2017-08-28,2017,Europe/Paris,2017-08-27 22:00:00,"","",2017-08-28 05:14:00,2017-08-28 18:50:00,0.23,0,0,"",,0,32.5,2017-08-28 16:40:00,19.6,2017-08-29 05:35:00,17.19,60,1015.9,10.003,,,2.75,49,,,0,2017-08-27 22:00:00,20.65,2017-08-28 06:40:00,32.5,2017-08-28 16:40:00,21.1,2017-08-28 06:40:00,32.49,2017-08-28 13:06:00,32.49,2017-08-28 13:06:00,20.09,2017-08-29 05:35:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
148609,48.601814,6.3192782,2017-09-05,2017,Europe/Paris,2017-09-04 22:00:00,Overcast throughout the day.,partly-cloudy-day,2017-09-05 04:59:00,2017-09-05 18:10:00,0.48,0,0,"",,0,24.85,2017-09-05 12:12:00,16.01,2017-09-06 06:00:00,14.45,73,1018.8,10.002,,,2.57,218,84,,4,2017-09-05 11:07:00,13.87,2017-09-05 04:21:00,24.85,2017-09-05 12:12:00,14.14,2017-09-05 04:21:00,24.57,2017-09-05 12:12:00,24.57,2017-09-05 12:12:00,16.33,2017-09-06 06:00:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
148772,47.875267,0.19285049,2017-09-11,2017,Europe/Paris,2017-09-10 22:00:00,Mostly cloudy throughout the day.,partly-cloudy-day,2017-09-11 05:33:00,2017-09-11 18:22:00,0.7,0,0,"",,0,19.42,2017-09-11 13:20:00,10.66,2017-09-12 05:30:00,10.19,70,1004.8,9.894,,,4.89,247,83,,4,2017-09-11 12:09:00,12.72,2017-09-11 04:20:00,19.42,2017-09-11 13:20:00,12.99,2017-09-11 04:20:00,19.14,2017-09-11 13:20:00,19.14,2017-09-11 13:20:00,10.93,2017-09-12 05:30:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
151472,45.136681,-1.063209,2017-10-31,2017,Europe/Paris,2017-10-30 23:00:00,"","",2017-10-31 06:43:00,2017-10-31 16:55:00,0.38,0,0,"",,0,14.73,2017-10-31 15:01:00,5.87,2017-11-01 04:28:00,4.05,72,1024.3,10.003,5.84,2017-10-31 10:52:00,3.33,61,,,1,2017-10-31 09:00:00,5.22,2017-10-31 06:48:00,14.73,2017-10-31 15:01:00,2.41,2017-10-31 03:03:00,14.45,2017-10-31 15:01:00,14.45,2017-10-31 15:01:00,3.47,2017-11-01 04:54:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
151753,47.403458,5.079538,2018-01-27,2017,Europe/Paris,2018-01-26 23:00:00,Foggy overnight.,cloudy,2018-01-27 07:13:00,2018-01-27 16:34:00,0.36,0.0008,0.0323,26-01-18 23:00:00,,0.08,7.15,2018-01-27 12:20:00,-0.47,2018-01-28 03:02:00,3.64,90,1032,9.392,,,2.72,349,92,,1,2018-01-27 11:53:00,1.22,2018-01-27 21:30:00,7.15,2018-01-27 12:20:00,1.49,2018-01-27 21:30:00,5.83,2018-01-27 14:51:00,5.83,2018-01-27 14:51:00,-0.2,2018-01-28 03:02:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
151955,46.013978,3.997896,2018-03-14,2018,Europe/Paris,2018-03-13 23:00:00,Light rain overnight.,"",2018-03-14 06:00:00,2018-03-14 17:49:00,0.91,0,0,"",,0,16.9,2018-03-14 14:51:00,8.95,2018-03-15 07:00:00,1.75,62,1008.9,9.698,5.54,2018-03-14 20:53:00,2.64,139,,,0,2018-03-13 23:00:00,1.49,2018-03-14 05:43:00,16.9,2018-03-14 14:51:00,0.89,2018-03-14 04:03:00,16.62,2018-03-14 14:51:00,16.62,2018-03-14 14:51:00,7.99,2018-03-15 07:00:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
156001,48.78888,-1.4783357,2018-05-21,2018,Europe/Paris,2018-05-20 22:00:00,"","",2018-05-21 04:19:00,2018-05-21 19:49:00,0.24,,,"",,,19.33,2018-05-21 12:20:00,9.55,2018-05-22 04:40:00,11.11,84,,5.17,,,2.63,344,,,3,2018-05-21 09:00:00,6.7,2018-05-21 03:00:00,19.33,2018-05-21 12:20:00,6.97,2018-05-21 03:00:00,19.05,2018-05-21 12:20:00,19.05,2018-05-21 12:20:00,8.68,2018-05-22 02:07:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
155440,48.01047984,6.94468117,2018-04-23,2018,Europe/Paris,2018-04-22 22:00:00,Rain until evening.,rain,2018-04-23 04:29:00,2018-04-23 18:34:00,0.28,0.3105,2.8862,23-04-18 10:00:00,,1,16.82,2018-04-23 08:25:00,6.73,2018-04-24 04:10:00,10.15,85,1017.8,,9.12,2018-04-23 13:10:00,2.33,228,,,4,2018-04-23 12:00:00,9.31,2018-04-23 21:00:00,16.82,2018-04-23 08:25:00,8.68,2018-04-23 21:00:00,16.54,2018-04-23 08:25:00,16.54,2018-04-23 08:25:00,5.97,2018-04-24 03:12:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
154542,45.154187,5.773368,2018-05-10,2018,Europe/Paris,2018-05-09 22:00:00,Rain in the morning and afternoon.,rain,2018-05-10 04:15:00,2018-05-10 18:55:00,0.83,0.3625,2.4035,10-05-18 01:02:00,,0.93,14.54,2018-05-10 14:50:00,10.39,2018-05-11 04:39:00,12.72,95,1013.2,9.177,3.38,2018-05-10 10:40:00,1.01,246,94,,6,2018-05-10 12:11:00,11.75,2018-05-10 21:00:00,14.54,2018-05-10 14:50:00,12.02,2018-05-10 21:00:00,14.26,2018-05-10 14:50:00,14.26,2018-05-10 14:50:00,10.66,2018-05-11 04:39:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
156949,49.06519,4.904527,2018-05-27,2018,Europe/Paris,2018-05-26 22:00:00,"","",2018-05-27 03:46:00,2018-05-27 19:32:00,0.44,,,"",,,29.21,2018-05-27 13:00:00,16.51,2018-05-28 04:40:00,16.44,72,,10.003,,,2.45,133,,,4,2018-05-27 09:00:00,16.65,2018-05-27 01:00:00,29.21,2018-05-27 13:00:00,16.98,2018-05-27 00:59:00,29.4,2018-05-27 13:02:00,29.4,2018-05-27 13:02:00,16.98,2018-05-28 04:40:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
170374,50.60911,2.9881618,2019-05-16,2019,Europe/Paris,2019-05-15 22:00:00,Clear throughout the day.,clear-day,2019-05-16 04:00:00,2019-05-16 19:32:00,0.42,0,0,"",,0,18.11,2019-05-16 16:36:00,8.24,2019-05-17 02:10:00,3.67,55,1017.8,16.093,7.12,2019-05-16 02:42:00,3.84,52,13,,6,2019-05-16 11:49:00,6.88,2019-05-16 02:09:00,18.11,2019-05-16 16:36:00,4.77,2019-05-16 02:10:00,17.83,2019-05-16 16:36:00,17.83,2019-05-16 16:36:00,7.08,2019-05-17 02:15:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
151661,43.161133,0.17655914,2017-01-03,2017,Europe/Paris,2017-01-02 23:00:00,"",cloudy,2017-01-03 07:32:00,2017-01-03 16:38:00,0.18,0,0,"",,0,4.07,2017-01-03 14:36:00,-7.75,2017-01-04 03:00:00,-2.3,97,1027.1,2.618,,,1.46,22,89,,1,2017-01-03 12:00:00,-6.77,2017-01-03 07:55:00,4.07,2017-01-03 14:36:00,-9.15,2017-01-03 07:58:00,2.79,2017-01-03 14:35:00,2.79,2017-01-03 14:35:00,-11.63,2017-01-04 03:18:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
151691,45.77079,3.18448,2017-01-10,2017,Europe/Paris,2017-01-09 23:00:00,Mostly cloudy throughout the day.,cloudy,2017-01-10 07:28:00,2017-01-10 16:24:00,0.44,0.0043,0.0155,10-01-17 04:16:00,,0.01,7.2,2017-01-10 13:34:00,1.58,2017-01-10 19:55:00,1.62,84,1014.8,10.003,6.93,2017-01-10 04:34:00,3.49,249,92,,1,2017-01-10 12:00:00,1.58,2017-01-10 19:55:00,7.2,2017-01-10 13:34:00,-2.27,2017-01-10 01:49:00,4.79,2017-01-10 07:50:00,4.79,2017-01-10 07:50:00,0.24,2017-01-10 18:49:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
159311,44.814075,-0.57745546,2017-01-13,2018,Europe/Paris,2017-01-12 23:00:00,Mostly cloudy throughout the day.,wind,2017-01-13 07:38:00,2017-01-13 16:46:00,0.55,0.4465,6.6674,13-01-17 13:04:00,,0.15,9.68,2017-01-13 13:26:00,0.66,2017-01-14 05:36:00,1.64,75,1020.2,10.003,17.78,2017-01-13 01:33:00,4.03,294,69,,1,2017-01-13 12:09:00,2.71,2017-01-13 22:00:00,9.68,2017-01-13 13:26:00,0.3,2017-01-13 22:00:00,6.74,2017-01-13 13:09:00,6.74,2017-01-13 13:09:00,-1.49,2017-01-14 05:10:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
146746,44.02738125,1.35292849,2017-01-16,2017,Europe/Paris,2017-01-15 23:00:00,Drizzle in the morning.,rain,2017-01-16 07:27:00,2017-01-16 16:44:00,0.65,0.0156,0.1986,16-01-17 02:00:00,,1,9.23,2017-01-16 13:02:00,-2.71,2017-01-17 06:53:00,2.87,81,1022.2,9.782,,,3.13,332,90,,1,2017-01-16 11:59:00,0.58,2017-01-16 22:00:00,9.23,2017-01-16 13:02:00,-0.81,2017-01-16 22:00:00,6.54,2017-01-16 10:02:00,6.54,2017-01-16 10:02:00,-6.74,2017-01-17 05:52:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
151749,47.261864,-1.523249,2017-01-19,2017,Europe/Paris,2017-01-18 23:00:00,Clear throughout the day.,clear-day,2017-01-19 07:46:00,2017-01-19 16:50:00,0.75,0,0,"",,0,0.78,2017-01-19 14:28:00,-6.29,2017-01-20 07:00:00,-5.36,77,1030.7,9.468,7.61,2017-01-19 10:03:00,2.18,63,10,,1,2017-01-19 12:16:00,-3.55,2017-01-19 21:14:00,0.78,2017-01-19 14:28:00,-8.81,2017-01-19 08:57:00,-1.03,2017-01-19 16:56:00,-1.03,2017-01-19 16:56:00,-6.26,2017-01-20 01:02:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
151343,44.58065625,2.31039802,2017-02-05,2017,Europe/Paris,2017-02-04 23:00:00,Rain throughout the day.,rain,2017-02-05 07:06:00,2017-02-05 17:06:00,0.31,0.6675,2.7185,05-02-17 06:59:00,,0.89,6.73,2017-02-05 06:00:00,1.21,2017-02-06 07:00:00,4.03,94,1005.5,9.288,8.4,2017-02-05 20:57:00,3,242,96,,2,2017-02-05 12:04:00,2.26,2017-02-05 22:00:00,7.08,2017-02-05 03:02:00,-1.11,2017-02-05 22:00:00,5.52,2017-02-05 04:21:00,4.8,2017-02-05 06:00:00,-2.31,2017-02-06 03:08:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
145430,47.884986,-3.905511,2017-07-04,2017,Europe/Paris,2017-07-03 22:00:00,"","",2017-07-04 04:24:00,2017-07-04 20:18:00,0.37,0,0,"",,0,26.01,2017-07-04 15:06:00,16.62,2017-07-05 04:40:00,13.31,72,1020.2,9.777,,,2.69,86,,,8,2017-07-04 11:00:00,11.44,2017-07-04 03:48:00,26.01,2017-07-04 15:06:00,11.71,2017-07-04 03:48:00,25.74,2017-07-04 17:00:00,25.74,2017-07-04 17:00:00,16.89,2017-07-05 04:40:00,"[’cmc’, ’gfs’, ’icon’, ’isd’, ’madis’]"
